Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",112.550000,-73.530000,90.000000,top
"C2","1.0uF","C_0402_1005Metric",79.100000,-95.200000,180.000000,top
"C3","1.0uF","C_0402_1005Metric",79.700000,-93.250000,-90.000000,top
"C4","0.1uF","C_0402_1005Metric",76.530000,-89.350000,0.000000,top
"C5","0.1uF","C_0402_1005Metric",76.530000,-88.400000,0.000000,top
"C6","0.1uF","C_0402_1005Metric",77.310000,-91.050000,0.000000,top
"C7","0.1uF","C_0402_1005Metric",77.310000,-92.000000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",82.450000,-90.500000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",82.900000,-88.920000,0.000000,top
"C10","0.1uF","C_0402_1005Metric",82.900000,-87.970000,0.000000,top
"C11","0.01uF","C_0402_1005Metric",111.950000,-84.158701,180.000000,top
"C12","0.1uF","C_0402_1005Metric",112.000000,-80.200000,180.000000,top
"C13","1.0uF","C_0402_1005Metric",118.150000,-63.200000,-90.000000,top
"C14","0.1uF","C_0402_1005Metric",116.150000,-65.800000,90.000000,top
"C15","0.1uF","C_0402_1005Metric",121.750000,-79.110000,-90.000000,top
"C16","0.1uF","C_0402_1005Metric",116.150000,-67.700000,-90.000000,top
"C17","1.0uF","C_0402_1005Metric",120.000000,-79.110000,-90.000000,top
"C18","1.0uF","C_0402_1005Metric",114.400000,-73.530000,180.000000,top
"C19","2.2uF","C_0603_1608Metric",92.000000,-72.050000,180.000000,top
"C20","2.2uF","C_0603_1608Metric",92.000000,-73.550000,180.000000,top
"C21","0.1uF","C_0402_1005Metric",97.250000,-69.612500,-90.000000,top
"C22","0.1uF","C_0402_1005Metric",92.700000,-67.830000,-90.000000,top
"C23","0.01uF","C_0402_1005Metric",80.325000,-55.820000,90.000000,top
"C24","DNI","C_0402_1005Metric",81.275000,-55.820000,90.000000,top
"C25","47uF, 16V","CP_EIA-6032-28_Kemet-C",98.800000,-62.550000,90.000000,top
"C26","0.1uF","C_0402_1005Metric",97.250000,-67.462500,90.000000,top
"C27","2.2uF","C_0603_1608Metric",79.000000,-73.850000,0.000000,top
"C28","2.2uF","C_0603_1608Metric",85.075000,-73.825000,0.000000,top
"C29","2.2uF","C_0603_1608Metric",75.950000,-69.850000,180.000000,top
"C30","2.2uF","C_0603_1608Metric",85.050000,-68.150000,0.000000,top
"C31","2.2uF","C_0603_1608Metric",90.700000,-67.350000,180.000000,top
"C32","0.1uF","C_0402_1005Metric",88.177500,-61.600000,0.000000,top
"C33","0.1uF","C_0402_1005Metric",74.605000,-62.400000,180.000000,top
"C34","0.1uF","C_0402_1005Metric",76.250000,-68.500000,180.000000,top
"C35","0.1uF","C_0402_1005Metric",73.850000,-67.600000,0.000000,top
"C36","0.1uF","C_0402_1005Metric",79.125000,-55.820000,90.000000,top
"C37","0.1uF","C_0402_1005Metric",74.605000,-61.450000,180.000000,top
"C38","0.1uF","C_0402_1005Metric",83.500000,-55.820000,90.000000,top
"C39","0.1uF","C_0402_1005Metric",79.200000,-67.850000,-90.000000,top
"C40","0.1uF","C_0402_1005Metric",73.800000,-55.550000,180.000000,top
"C41","0.1uF","C_0402_1005Metric",82.800000,-67.830000,-90.000000,top
"C42","27pF","C_0402_1005Metric",89.637500,-64.800000,90.000000,top
"C43","27pF","C_0402_1005Metric",89.637500,-62.100000,-90.000000,top
"C44","1.0uF","C_0402_1005Metric",75.600000,-59.575000,180.000000,top
"C45","0.01uF","C_0402_1005Metric",78.125000,-55.820000,90.000000,top
"C46","0.1uF","C_0402_1005Metric",88.177500,-60.650000,0.000000,top
"C47","0.1uF","C_0402_1005Metric",74.605000,-63.350000,180.000000,top
"C48","1.0uF","C_0402_1005Metric",75.600000,-58.625000,180.000000,top
"C49","1.0uF","C_0402_1005Metric",93.100000,-90.000000,0.000000,top
"C50","10uF","C_0805_2012Metric",63.700000,-81.100000,180.000000,top
"C51","10uF","C_0805_2012Metric",63.450000,-68.000000,180.000000,top
"C52","10uF","C_0805_2012Metric",71.000000,-66.550000,90.000000,top
"C53","1.0uF","C_0402_1005Metric",70.800000,-82.170000,-90.000000,top
"C56","0.01uF","C_0402_1005Metric",77.090000,-87.410000,180.000000,top
"D1","CEZ6V2","D_SOD-523",63.950000,-82.900000,180.000000,top
"D2","ESD752DCKR","SOT-SC70_DCK_TEX",70.650000,-97.050000,180.000000,top
"D3","150060VS55040","LED_0603_1608Metric",74.537500,-72.100000,0.000000,top
"D4","150060VS55040","LED_0603_1608Metric",74.537500,-73.640000,0.000000,top
"D5","HSMA-C197","LED_0603_1608Metric",74.537500,-75.170000,0.000000,top
"D6","HSMC-C197","LED_0603_1608Metric",74.537500,-76.700000,0.000000,top
"D7","150060VS55040","LED_0603_1608Metric",82.150000,-98.262500,90.000000,top
"D8","150060VS55040","LED_0603_1608Metric",83.750000,-98.262500,90.000000,top
"D9","150060VS55040","LED_0603_1608Metric",85.350000,-98.262500,90.000000,top
"D10","150060VS55040","LED_0603_1608Metric",86.950000,-98.262500,90.000000,top
"D11","CEZ6V2","D_SOD-523",63.200000,-66.150000,180.000000,top
"D12","150060VS55040","LED_0603_1608Metric",65.650000,-52.100000,-90.000000,top
"D13","150060VS55040","LED_0603_1608Metric",72.960000,-69.830000,180.000000,top
"D14","CEZ6V2","D_SOD-523",71.000000,-78.100000,-90.000000,top
"D15","HSMA-C197","LED_0603_1608Metric",95.600000,-89.000000,180.000000,top
"D16","150060VS55040","LED_0603_1608Metric",71.750000,-84.350000,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",63.000000,-53.000000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",125.000000,-97.000000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",63.000000,-97.000000,0.000000,top
"J1","USB_C_Receptacle","USB_C_Receptacle_Molex_105450-0101",64.350000,-90.000000,-90.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",63.600000,-60.000000,-90.000000,top
"J3","SWD","JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal",114.550000,-53.275000,180.000000,top
"J4","10144517-061802LF","10144517-061802LF",130.000000,-75.000000,-90.000000,top
"J5","10144517-061802LF","10144517-061802LF",105.000000,-75.000000,-90.000000,top
"J6","DNI","Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal",68.000000,-75.000000,90.000000,top
"Q1","NX6008NBK","SOT-23",83.800000,-77.450000,90.000000,top
"Q2","NX6008NBK","SOT-23",111.950000,-68.200000,180.000000,top
"Q3","NX6008NBK","SOT-23",95.637500,-76.100000,0.000000,top
"Q4","NX6008NBK","SOT-23",75.500000,-79.750000,-90.000000,top
"R1","DNI","R_0402_1005Metric",67.150000,-97.550000,0.000000,top
"R2","DNI","R_0402_1005Metric",67.150000,-96.500000,0.000000,top
"R3","10k","R_0402_1005Metric",82.500000,-91.500000,0.000000,top
"R4","8.06k","R_0402_1005Metric",84.400000,-91.500000,0.000000,top
"R5","DNI","R_0402_1005Metric",81.790000,-86.450000,0.000000,top
"R6","DNI","R_0402_1005Metric",83.690000,-86.450000,0.000000,top
"R7","DNI","R_0402_1005Metric",81.790000,-85.450000,0.000000,top
"R8","DNI","R_0402_1005Metric",83.690000,-85.450000,0.000000,top
"R9","DNI","R_0402_1005Metric",75.340000,-94.200000,0.000000,top
"R10","DNI","R_0402_1005Metric",77.200000,-94.200000,0.000000,top
"R11","DNI","R_0402_1005Metric",75.340000,-95.200000,0.000000,top
"R12","DNI","R_0402_1005Metric",77.200000,-95.200000,0.000000,top
"R13","10k","R_0402_1005Metric",78.700000,-93.250000,-90.000000,top
"R14","5.1k","R_0402_1005Metric",110.450000,-80.300000,-90.000000,top
"R15","100","R_0402_1005Metric",110.450000,-82.200000,-90.000000,top
"R16","5.1k","R_0402_1005Metric",110.450000,-84.100000,-90.000000,top
"R17","27.4","R_0402_1005Metric",114.900000,-81.950000,180.000000,top
"R18","15","R_0402_1005Metric",120.100000,-63.200000,-90.000000,top
"R19","15","R_0402_1005Metric",119.150000,-63.200000,-90.000000,top
"R20","10k","R_0402_1005Metric",113.000000,-74.980000,0.000000,top
"R21","10k","R_0402_1005Metric",114.900000,-74.980000,180.000000,top
"R22","0","R_0402_1005Metric",114.900000,-75.930000,0.000000,top
"R23","10k","R_0402_1005Metric",124.400000,-70.500000,180.000000,top
"R24","8.06k","R_0402_1005Metric",114.900000,-76.880000,180.000000,top
"R25","1k","R_0402_1005Metric",119.000000,-79.110000,-90.000000,top
"R26","10k","R_0402_1005Metric",121.100000,-63.200000,-90.000000,top
"R27","1k","R_0402_1005Metric",123.300000,-67.400000,0.000000,top
"R28","27.4","R_0402_1005Metric",124.100000,-76.500000,90.000000,top
"R29","10k","R_0402_1005Metric",123.200000,-65.050000,0.000000,top
"R30","75","R_0402_1005Metric",76.700000,-71.750000,90.000000,top
"R31","10k","R_0402_1005Metric",92.700000,-69.800000,90.000000,top
"R32","10k","R_0402_1005Metric",98.900000,-74.850000,180.000000,top
"R33","75","R_0402_1005Metric",76.700000,-73.650000,-90.000000,top
"R34","10k","R_0402_1005Metric",112.550000,-71.000000,-90.000000,top
"R35","10k","R_0402_1005Metric",93.100000,-76.550000,-90.000000,top
"R36","100","R_0402_1005Metric",77.050000,-75.650000,180.000000,top
"R37","0.02","R_0805_2012Metric",98.800000,-68.650000,90.000000,top
"R38","120k","R_0402_1005Metric",95.500000,-62.850000,180.000000,top
"R39","100k","R_0402_1005Metric",95.500000,-61.880000,0.000000,top
"R40","100","R_0402_1005Metric",77.050000,-76.700000,180.000000,top
"R41","75","R_0402_1005Metric",95.550000,-64.900000,90.000000,top
"R42","10k","R_0402_1005Metric",99.050000,-85.900000,180.000000,top
"R43","10k","R_0402_1005Metric",99.050000,-84.950000,180.000000,top
"R44","1k","R_0402_1005Metric",119.900000,-97.550000,90.000000,top
"R45","1k","R_0402_1005Metric",118.900000,-97.550000,90.000000,top
"R46","75","R_0402_1005Metric",114.750000,-93.300000,180.000000,top
"R47","75","R_0402_1005Metric",114.750000,-94.300000,180.000000,top
"R48","75","R_0402_1005Metric",114.750000,-95.300000,180.000000,top
"R49","75","R_0402_1005Metric",114.750000,-96.300000,180.000000,top
"R50","10k","R_0402_1005Metric",119.900000,-95.650000,-90.000000,top
"R51","10k","R_0402_1005Metric",118.900000,-95.650000,-90.000000,top
"R52","1k","R_0402_1005Metric",81.950000,-72.150000,180.000000,top
"R53","1k","R_0402_1005Metric",72.410000,-63.370000,-90.000000,top
"R54","DNI","R_0402_1005Metric",70.050000,-61.900000,0.000000,top
"R55","DNI","R_0402_1005Metric",70.050000,-57.650000,0.000000,top
"R56","10k","R_0402_1005Metric",78.050000,-67.060000,90.000000,top
"R57","5.1k","R_0402_1005Metric",70.050000,-62.850000,0.000000,top
"R58","5.1k","R_0402_1005Metric",70.050000,-58.600000,0.000000,top
"R59","1k","R_0402_1005Metric",75.650000,-55.550000,0.000000,top
"R60","27.4","R_0402_1005Metric",72.375000,-61.100000,180.000000,top
"R61","27.4","R_0402_1005Metric",72.375000,-60.150000,180.000000,top
"R62","100","R_0402_1005Metric",115.540000,-57.710000,-90.000000,top
"R63","100","R_0402_1005Metric",113.550000,-57.710000,-90.000000,top
"R64","1k","R_0402_1005Metric",88.177500,-62.550000,180.000000,top
"R65","10k","R_0402_1005Metric",88.050000,-58.360000,-90.000000,top
"R66","0","R_0402_1005Metric",75.610000,-57.675000,0.000000,top
"R67","DNI","R_0402_1005Metric",75.600000,-56.700000,0.000000,top
"R68","75","R_0402_1005Metric",67.300000,-52.990000,90.000000,top
"R69","1k","R_0402_1005Metric",73.700000,-57.160000,-90.000000,top
"R70","10k","R_0402_1005Metric",68.800000,-84.000000,0.000000,top
"R71","10k","R_0402_1005Metric",96.200000,-91.100000,180.000000,top
"R72","10k","R_0402_1005Metric",77.950000,-78.300000,90.000000,top
"R73","1k","R_0402_1005Metric",74.990000,-83.600000,0.000000,top
"R74","1k","R_0402_1005Metric",74.990000,-84.600000,0.000000,top
"R75","1k","R_0402_1005Metric",74.990000,-82.600000,0.000000,top
"R76","10k","R_0402_1005Metric",96.190000,-94.100000,180.000000,top
"R77","10k","R_0402_1005Metric",96.190000,-93.100000,180.000000,top
"R78","10k","R_0402_1005Metric",96.190000,-92.100000,180.000000,top
"R79","DNI","R_0402_1005Metric",90.500000,-93.810000,-90.000000,top
"R80","0","R_0402_1005Metric",66.900000,-69.750000,0.000000,top
"R81","900k","R_0402_1005Metric",90.500000,-91.450000,-90.000000,top
"R82","301","R_0402_1005Metric",71.000000,-70.340000,-90.000000,top
"R83","100","R_0402_1005Metric",93.100000,-89.000000,0.000000,top
"R84","301","R_0402_1005Metric",72.550000,-82.200000,-90.000000,top
"R85","6.19k","R_0402_1005Metric",82.425000,-70.535000,-90.000000,top
"R86","2k","R_0402_1005Metric",81.425000,-70.540000,90.000000,top
"R87","3.57k","R_0402_1005Metric",87.500000,-68.690000,-90.000000,top
"R88","1.69k","R_0402_1005Metric",87.500000,-70.610000,-90.000000,top
"R89","15","R_0402_1005Metric",98.900000,-77.000000,0.000000,top
